id,first_name,last_name,gender,birth_date,rut_number,program,process_date
1,User 1,Lastname,M,1956-07-04,7512973,P3,2018-06-22
2,User 2,Lastname,F,1990-09-18,17635939,P2,2020-09-09
3,User 3,Lastname,M,1976-11-22,14310405,P1,2020-09-09
4,User 4,Lastname,F,1996-12-10,19356817,P4,2021-10-22
5,User 5,Lastname,M,1997-09-09,19743480,P5,2018-06-22
6,User 6,Lastname,F,1988-01-06,16779367,P1,
7,User 7,Lastname,F,1986-06-10,16427026,P3,2018-06-22
8,User 8,Lastname,F,1981-06-02,14160441,P1,2018-07-18
9,User 9,Lastname,F,1978-09-02,13497264,P4,2018-06-22
10,User 10,Lastname,F,1991-03-05,17855705,P4,2021-10-22
11,User 11,Lastname,F,1981-01-01,13998882,P4,2023-07-19
12,User 12,Lastname,F,1977-06-22,13321581,P1,2023-07-19
13,User 13,Lastname,M,1951-10-16,6846197,P4,2018-06-22
14,User 14,Lastname,M,1986-12-26,16295815,P4,
15,User 15,Lastname,F,1982-06-07,16131132,P5,2018-06-22
16,User 16,Lastname,F,1986-02-12,16288165,P3,2018-09-28
17,User 17,Lastname,F,1983-09-24,15691629,P5,2018-06-22
18,User 18,Lastname,F,1996-05-08,18721521,P3,2018-10-10
19,User 19,Lastname,M,1985-12-18,15967998,P1,2018-06-22
20,User 20,Lastname,M,1956-12-16,7837219,P1,2018-06-22
21,User 21,Lastname,F,1983-09-30,15619251,P1,2021-10-22
22,User 22,Lastname,F,1985-01-08,16170488,P3,2019-09-30
23,User 23,Lastname,F,1955-07-27,7735964,P5,2019-09-30
24,User 24,Lastname,M,1956-02-10,6513008,P4,2023-11-10
25,User 25,Lastname,M,1987-04-21,16494147,P3,2021-08-02
26,User 26,Lastname,M,1964-04-27,10068772,P4,
27,User 27,Lastname,F,1967-05-04,11208591,P4,2018-06-22
28,User 28,Lastname,F,1986-09-26,16375932,P5,2018-06-22
29,User 29,Lastname,F,1980-11-10,14058776,P4,2018-06-22
30,User 30,Lastname,M,1982-01-08,15029896,P1,2018-06-22
31,User 31,Lastname,F,1988-02-29,16569249,P2,2018-06-22
32,User 32,Lastname,F,1982-10-19,15153868,P3,2018-06-22
33,User 33,Lastname,F,1986-12-31,16393571,P3,2018-06-22
34,User 34,Lastname,F,1979-01-08,13579280,P1,2023-07-19
35,User 35,Lastname,F,1997-08-27,19727496,P3,2023-07-19
36,User 36,Lastname,F,1987-05-06,16344826,P2,
37,User 37,Lastname,F,1952-05-02,7586066,P3,2021-10-22
38,User 38,Lastname,F,1957-04-19,8948155,P5,2020-09-09
39,User 39,Lastname,F,1956-01-25,8568819,P5,2018-06-22
